Pantun,Penulis,Tema,Jenis,Makna,Situasi Penggunaan,Situasi Formal,Situasi Santai,Situasi Kehidupan,Acara/Majlis,Acara Keagamaan,Acara Sosial,Acara Pendidikan,Kata Kunci,Markah,Diterbitkan,Tarikh Cipta,Tarikh Ubah
"Kriang acheh dari sebrang
Ambil di-bawak berkarong-karong
Handak menangis tiada orang
Kalau nak-gila ada sekarang",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"acheh, ambil, kriang, sebrang, dari",16.0,ya,2024-12-02,2024-12-02
"Batu firus mari di-selang
Bangkit bersri wajah gemilang
Biar kuros nampak-nya tulang
Atoran bistari jangan-lah hilang.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bangkit, mari, batu, di-selang, firus",22.0,ya,2024-12-02,2024-12-02
"Orang kampong orang temenggong
Potong kerbau tembon-tembon
Suka di-junjong susah di-tanggong
Sebagi kemarau di-timpa embon.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"temenggong, orang, kampong, potong",18.0,ya,2024-12-02,2024-12-02
"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"papan, di-pukol, arus, anak, jati",23.0,ya,2024-12-02,2024-12-02
"Ambil arang di-gosok-kan lidah
Ayer mata belinang-linang
Jadi orang bukan-nya mudah
Terlebeh susah dari-pada senang.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-gosok-kan, lidah, ambil, ayer, arang",22.0,ya,2024-12-02,2024-12-02
"Chuka datang dari-nya hulu
Teban nipah pagar-pagar-kan
Sedang suka berhanti dahulu
Bila susah sabar-sabar-kan",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"hulu, teban, chuka, datang, dari-nya",22.0,ya,2024-12-02,2024-12-02
"Buah kranji beraga-raga
Hingggot lagi jangan di-reban-kan
Sunggoh janji tak-usah di-jaga
Laut jangan tuan terjon-kan",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"kranji, buah, beraga-raga, hingggot, lagi",22.0,ya,2024-12-02,2024-12-02
"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"berpalu, ribot, pechah, terbang, layer",23.0,ya,2024-12-02,2024-12-02
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mari, batu, gadongan, di-atas, di-tampi",19.0,ya,2024-12-02,2024-12-02
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"selimut, gula, ayer, di-tudong, lupa",23.0,ya,2024-12-02,2024-12-02
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"betara, bawak, indra, pandan, bungah",23.0,ya,2024-12-02,2024-12-02
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-chakok, mari, ulu, serepeh, kapak",20.0,ya,2024-12-02,2024-12-02
"Batu firus mari di-selang
Bangkit bersri wajah gemilang
Biar kuros nampak-nya tulang
Atoran bistari jangan-lah hilang.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bangkit, mari, batu, di-selang, firus",22.0,ya,2024-12-02,2024-12-02
"Orang kampong orang temenggong
Potong kerbau tembon-tembon
Suka di-junjong susah di-tanggong
Sebagi kemarau di-timpa embon.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"temenggong, orang, kampong, potong",18.0,ya,2024-12-02,2024-12-02
"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"papan, di-pukol, arus, anak, jati",23.0,ya,2024-12-02,2024-12-02
"Ambil arang di-gosok-kan lidah
Ayer mata belinang-linang
Jadi orang bukan-nya mudah
Terlebeh susah dari-pada senang.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-gosok-kan, lidah, ambil, ayer, arang",22.0,ya,2024-12-02,2024-12-02
"Chuka datang dari-nya hulu
Teban nipah pagar-pagar-kan
Sedang suka berhanti dahulu
Bila susah sabar-sabar-kan",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"hulu, teban, chuka, datang, dari-nya",22.0,ya,2024-12-02,2024-12-02
"Kriang acheh dari sebrang
Ambil di-bawak berkarong-karong
Handak menangis tiada orang
Kalau nak-gila ada sekarang",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"acheh, ambil, kriang, sebrang, dari",0.0,ya,2024-12-02,2024-12-02
"Buah kranji beraga-raga
Hingggot lagi jangan di-reban-kan
Sunggoh janji tak-usah di-jaga
Laut jangan tuan terjon-kan",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"kranji, buah, beraga-raga, hingggot, lagi",22.0,ya,2024-12-02,2024-12-02
"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"berpalu, ribot, pechah, terbang, layer",23.0,ya,2024-12-02,2024-12-02
"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"remia, buah, di-hutan, pandan, layang-layang",0.0,ya,2024-12-02,2024-12-02
"Adek kakak sahabat handai
Mari balek ketempat-nya
Apa bijak apa pandai
Diri-nya baik itu guna-nya.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"adek, mari, kakak, handai, sahabat",0.0,ya,2024-12-02,2024-12-02
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mari, batu, gadongan, di-atas, di-tampi",19.0,ya,2024-12-02,2024-12-02
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"selimut, gula, ayer, di-tudong, lupa",23.0,ya,2024-12-02,2024-12-02
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"betara, bawak, indra, pandan, bungah",23.0,ya,2024-12-02,2024-12-02
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-chakok, mari, ulu, serepeh, kapak",20.0,ya,2024-12-02,2024-12-02
"Selorah dunia mashor artawan
Di-pujee rajah darjat berkilau-an
Nama baik sangat chembu-an
Bersey amat susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"artawan, di-pujee, dunia, selorah, mashor",20.0,ya,2024-12-02,2024-12-02
"Menyaga besar susu haiwan
Srata ada agent stiawan
Laku tiadak dapat di-lawan
Nama ter-angkat susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"srata, besar, menyaga, haiwan, susu",20.0,ya,2024-12-02,2024-12-02
"Jika orang sakit lepu-an
Dapat minoom barang sa-chawan
Naschaya segar angota lesuan
Krana kuat susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"orang, jika, sakit, dapat, lepu-an",20.0,ya,2024-12-02,2024-12-02
"Bebrapa bomo pangkat yang nombor-one
Puji baik dengan akuan
Orang sakit sbarang kelakuan
Buleh minoom susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bebrapa, pangkat, yang, bomo, nombor-one",20.0,ya,2024-12-02,2024-12-02
"Bukan sahaja barang jamuan
Banyak lagi ya-ampunya lawan
Bebrapa kanak-kanak yang pia-tuan
Di-plehira dengan susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"jamuan, barang, bukan, sahaja, banyak",21.0,ya,2024-12-02,2024-12-02
"Fa-idah nya bukan tiadak ketentu-an
Bagi sekelian wajah bangsawan
Jika buat barang jamuan
Mahu-lah champor susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"bukan, nya, fa-idah, tiadak, ketentu-an",16.0,ya,2024-12-02,2024-12-02
"Di-mak-lom dengan spenoh khal-buan
Kepada sekelian inchek tuan-tuan
Suatu kesah di-bri ketahu-wan
Fasal fa-idah susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-mak-lom, dengan, kepada, khal-buan, spenoh",16.0,ya,2024-12-02,2024-12-02
"Susu deri pada benatang haiwan
Di-negri-negri tempat tentu-an
Telah mashor di-bawa awan
Nama besar susu Chap Prompuan.",Peranakan,"SUSU ""CHAP PROMPUAN""",Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"pada, benatang, haiwan, susu, deri",21.0,ya,2024-12-02,2024-12-02
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"mari, batu, gadongan, di-atas, di-tampi",19.0,ya,2024-12-02,2024-12-02
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"selimut, gula, ayer, di-tudong, lupa",23.0,ya,2024-12-02,2024-12-02
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"betara, bawak, indra, pandan, bungah",23.0,ya,2024-12-02,2024-12-02
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-chakok, mari, ulu, serepeh, kapak",20.0,ya,2024-12-02,2024-12-02
"Ada kenal inchek Mustafa
Balek sana kampong chempa
Chantek perangai elok rupa
Dalam srubu satu tak-jumpa.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"inchek, kenal, mustafa, ada, balek",16.0,ya,2024-12-02,2024-12-02
"Bila kesbrang hujan pon rintek
Rintek habis basah bomi-nya
Bukan chantek sebarang chantek
Chantek dengan budi bahas-nya.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"rintek, kesbrang, pon, bila, hujan",23.0,ya,2024-12-02,2024-12-02
"Singgah di-pantai menyampak jala
Dapat ikan satu prahu
Jangan fakir sahya-ni gila
Sapa terdapat dia-lah tahu.",Peranakan,Panton Permolaan 18 & 19,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"singgah, di-pantai, dapat, menyampak, jala",18.0,ya,2024-12-02,2024-12-02
"Datok raja rebah tergolek
Dalam istana bagi nak-gila
Dudok sahja tiada bersolek
Sabagai bunga bahru mala.",Peranakan,Panton Permolaan 18 & 19,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"rebah, dalam, tergolek, datok, raja",22.0,ya,2024-12-02,2024-12-02
"Ayer hining di-gunong batak
Mengalir sampai kesungei serdang
Puteh kuning hidong serdang
Tiada jemu mata memandang.",Peranakan,Panton Permolaan 18 & 19,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-gunong, mengalir, ayer, batak, hining",17.0,ya,2024-12-02,2024-12-02
"Bara api di-dalam pua 
Kemiyan ada di-dalam chelpa
Buah hati jantong ku tuan
Ingat-lah tuan jangan-lah lupa.",Peranakan,Panton Permolaan 18 & 19,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"api, di-dalam, bara, pua, kemiyan",19.0,ya,2024-12-02,2024-12-02
